day’s leave,jour de congé
employee,employé/employée
file (data),fichier
actor,acteur
actress,actrice
advertisement,annonce/publicité
aim/goal,but
air steward,steward de l’air
air hostess,hôtesse de l’air
ambition,ambition
answerphone,répondeur
appointment,rendez-vous
apprentice,apprenti/apprentie
apprenticeship,apprentissage
architect,architecte
artist,artiste
badly paid,mal payé
baker,boulanger/boulangère
builder,maçon
business/shop,commerce
busy,occupé
butcher,boucher/bouchère
cashier,caissier/caissière
charity,organisation charitable
charity sale (e.g. bake sale),vente de charité
civil servant,fonctionnaire
coffee break,pause-café
colleague,collègue
computer science,informatique
computer scientist,informaticien/informaticine
conference,conférence
cook,cuisinier/cuisinière
data base,base de données
degree (university),licence
dentist,dentiste
designer,dessinateur/dessinatrice
doctor,médecin/docteur
drama,art dramatique
drama,théâtre
dream,rêve
driver,chauffeur
educational,éducatif/éducative
electrician,électricien/électricienne
employer,employeur
enclosed,ci-inclus
engineer,ingénieur
experienced,expérimenté
farmer,fermier/fermière
farmer worker,agriculteur/agricultrice
fashion,mode
file,classeur/fichier
fireman,pompier
folder,dossier
form,formulaire
forward slash,slash
hard disk,disque dur
higher education,études universitaires
impression,impression
in aid of,au profit de
internship,stage
interview (job),entretien
interview (TV or magazine),entrevue
job,emploi
job advert/vacancy,offre d’emploi
job/position,emploi/poste
journalist,journaliste
key (on keyboard),touche
keyboard,clavier
language,langue
law (study of the subject),droit
letter of application,lettre de candidature
link,lien
manager,gérant/gérante/directeur/directrice
marketing,marketing
mechanic,mécanicien/mécanicienne
medicine (study of the subject),médicine
meeting,réunion
memory card,carte mémoire
mouse,souris
musician,musicien/musicienne
nurse,infirmier/infirmière
part time,mi-temps
per hour,à l’heure
pharmacist,pharmacien/pharmacienne
"plan, project",projet
planned,prévu
plumber,plombier
poet,poète
police officer,agent de police/policier
printer,imprimante
"profession, job, occupation",métier
programmer,programmeur
programmer,programmeur
promotion prospects,possibilités d’avancement
qualification,diplôme
qualified,qualifié/diplômé
"rep, sales representative",représentant
salary,salaire/paie
school education,éducation
"sewing, tailoring",couture
signature,signature
situation wanted,demande d’emploi
skills,compétences
society/company,société
student,étudiant/étudiante
success,succès/réussite
successful,réussi
teacher,professeur
teacher (primary),instituteur/institutrice
teaching/education (as a subject),enseignement
technician,technicien/technicienne
telephone call,coup de téléphone
terms of employment,conditions de travail
touch screen,écran tactile
training,formation
travel agency,agence de voyages
underscore,soulignement
unemployment,chômage
university,université
university,faculté/fac
"voluntarily, without pay",bénévolement
voluntary work,travail volontaire
volunteer,volontaire
waiter/waitress,serveur/serveuse
webmail,web-mail
well paid,bien payé
word processing,traitement de texte
work,travail
work (informal),boulot
